endpoint,category,reported_status,recomputed_status,reported_numerator,recomputed_numerator,reported_denominator,registered_denominator,block_record_count,fidelity_record_count,failure_ledger_count,recomputation_match,source_result_sha256
A0,DETERMINISTIC_OR_FORMULA_CONFORMANCE,PASS,PASS,0,0,256,256,256,1,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A1,FINITE_SAMPLE_MACHINERY_ENDPOINT,PASS,PASS,0,0,64,64,64,64,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
B0,FINITE_SAMPLE_MACHINERY_ENDPOINT,PASS,PASS,0,0,64,64,64,64,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
B1,FINITE_SAMPLE_MACHINERY_ENDPOINT,PASS,PASS,0,0,64,64,64,64,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
C,DETERMINISTIC_OR_FORMULA_CONFORMANCE,PASS,PASS,0,0,9,9,9,1,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D0,DETERMINISTIC_OR_FORMULA_CONFORMANCE,PASS,PASS,0,0,64,64,64,64,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D1,DETERMINISTIC_OR_FORMULA_CONFORMANCE,PASS,PASS,0,0,1,1,1,1,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D2-CERT,FINITE_SAMPLE_MACHINERY_ENDPOINT,NOT_CONTRADICTED_BY_LOCKED_AUDIT,NOT_CONTRADICTED_BY_LOCKED_AUDIT,0,0,64,64,64,64,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D2-MEM,DETERMINISTIC_OR_FORMULA_CONFORMANCE,PASS,PASS,0,0,4,4,4,1,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
E,FINITE_SAMPLE_MACHINERY_ENDPOINT,PASS,PASS,0,0,64,64,64,64,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
F0,FINITE_SAMPLE_MACHINERY_ENDPOINT,PASS,PASS,0,0,64,64,64,64,0,True,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
