endpoint,audit_row_id,source_block_id,block_index,fidelity_status,primitive_event,failure_code_present,recomputed_adverse,structural_status,source_result_sha256
A0,A0:AUDIT:000,,0,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:001,,1,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:002,,2,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:003,,3,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:004,,4,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:005,,5,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:006,,6,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:007,,7,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:008,,8,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:009,,9,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:010,,10,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:011,,11,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:012,,12,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:013,,13,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:014,,14,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:015,,15,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:016,,16,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:017,,17,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:018,,18,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:019,,19,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:020,,20,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:021,,21,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:022,,22,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:023,,23,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:024,,24,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:025,,25,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:026,,26,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:027,,27,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:028,,28,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:029,,29,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:030,,30,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:031,,31,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:032,,32,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
A0,A0:AUDIT:033,,33,PASS,False,False,False,PASS,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
